,week,lecture title,lecture name,duration,link
0,Week 1,Introduction,Lecture_00,33:27,https://hello.iitk.ac.in/eso204a21/#/lecture/5
1,Week 1,What is Fluid?,Lecture_01,43:52,https://hello.iitk.ac.in/eso204a21/#/lecture/6
2,Week 1,Some important properties,Lecture_02,43:36,https://hello.iitk.ac.in/eso204a21/#/lecture/7
3,Week 1,Some important properties,Lecture_03,47:01,https://hello.iitk.ac.in/eso204a21/#/lecture/8
4,Week 2,Pressure,Lecture_04,49:48,https://hello.iitk.ac.in/eso204a21/#/lecture/10
5,Week 2,Fluid Statics,Lecture_05,50:04,https://hello.iitk.ac.in/eso204a21/#/lecture/11
6,Week 2,Fluid Kinematics,Lecture_06,48:44,https://hello.iitk.ac.in/eso204a21/#/lecture/18
7,Week 3,Fluid Kinematics,Lecture_07,45:17,https://hello.iitk.ac.in/eso204a21/#/lecture/19
8,Week 3,Fluid Kinematics: vorticity and strain rate tensor,Lecture_08,52:57,https://hello.iitk.ac.in/eso204a21/#/lecture/41
9,Week 3,Reynolds Transport Theorem,Lecture_09,46:13,https://hello.iitk.ac.in/eso204a21/#/lecture/42
